"","COUNTYFP","NEVER","RARELY","SOMETIMES","FREQUENTLY","ALWAYS","NAME"
"1",1001,0.053,0.074,0.134,0.295,0.444,"Autauga"
"2",1003,0.083,0.059,0.098,0.323,0.436,"Baldwin"
"3",1005,0.067,0.121,0.12,0.201,0.491,"Barbour"
"4",1007,0.02,0.034,0.096,0.278,0.572,"Bibb"
"5",1009,0.053,0.114,0.18,0.194,0.459,"Blount"
"6",1011,0.031,0.04,0.144,0.286,0.5,"Bullock"
"7",1013,0.102,0.053,0.257,0.137,0.451,"Butler"
"8",1015,0.152,0.108,0.13,0.167,0.442,"Calhoun"
"9",1017,0.117,0.037,0.15,0.136,0.56,"Chambers"
"10",1019,0.135,0.027,0.161,0.158,0.52,"Cherokee"
"11",1021,0.06,0.07,0.058,0.194,0.618,"Chilton"
"12",1023,0.049,0.038,0.126,0.219,0.568,"Choctaw"
"13",1025,0.049,0.088,0.164,0.268,0.43,"Clarke"
"14",1027,0.148,0.158,0.195,0.169,0.329,"Clay"
"15",1029,0.151,0.125,0.138,0.217,0.368,"Cleburne"
"16",1031,0.101,0.152,0.094,0.186,0.466,"Coffee"
"17",1033,0.082,0.096,0.152,0.159,0.51,"Colbert"
"18",1035,0.099,0.052,0.259,0.192,0.399,"Conecuh"
"19",1037,0.055,0.131,0.167,0.263,0.384,"Coosa"
"20",1039,0.187,0.128,0.129,0.201,0.356,"Covington"
"21",1041,0.06,0.091,0.199,0.233,0.416,"Crenshaw"
"22",1043,0.13,0.024,0.249,0.217,0.379,"Cullman"
"23",1045,0.089,0.113,0.118,0.22,0.46,"Dale"
"24",1047,0.095,0.1,0.159,0.122,0.524,"Dallas"
"25",1049,0.084,0.051,0.106,0.179,0.58,"DeKalb"
"26",1051,0.042,0.095,0.127,0.252,0.485,"Elmore"
"27",1053,0.114,0.026,0.188,0.285,0.387,"Escambia"
"28",1055,0.096,0.103,0.178,0.122,0.501,"Etowah"
"29",1057,0.138,0.048,0.151,0.233,0.429,"Fayette"
"30",1059,0.065,0.071,0.223,0.156,0.484,"Franklin"
"31",1061,0.176,0.131,0.089,0.158,0.445,"Geneva"
"32",1063,0.03,0.053,0.127,0.167,0.623,"Greene"
"33",1065,0.026,0.061,0.084,0.191,0.639,"Hale"
"34",1067,0.066,0.068,0.17,0.258,0.438,"Henry"
"35",1069,0.085,0.079,0.135,0.268,0.433,"Houston"
"36",1071,0.092,0.089,0.11,0.249,0.46,"Jackson"
"37",1073,0.049,0.037,0.107,0.179,0.628,"Jefferson"
"38",1075,0.107,0.045,0.132,0.189,0.527,"Lamar"
"39",1077,0.093,0.119,0.141,0.179,0.469,"Lauderdale"
"40",1079,0.162,0.08,0.088,0.251,0.419,"Lawrence"
"41",1081,0.053,0.064,0.138,0.183,0.562,"Lee"
"42",1083,0.102,0.034,0.133,0.336,0.395,"Limestone"
"43",1085,0.12,0.073,0.145,0.199,0.464,"Lowndes"
"44",1087,0.008,0.033,0.241,0.172,0.545,"Macon"
"45",1089,0.062,0.05,0.123,0.177,0.589,"Madison"
"46",1091,0.033,0.151,0.118,0.186,0.512,"Marengo"
"47",1093,0.129,0.064,0.246,0.207,0.353,"Marion"
"48",1095,0.075,0.064,0.129,0.253,0.479,"Marshall"
"49",1097,0.077,0.07,0.102,0.244,0.506,"Mobile"
"50",1099,0.112,0.041,0.182,0.288,0.378,"Monroe"
"51",1101,0.056,0.095,0.123,0.212,0.513,"Montgomery"
"52",1103,0.078,0.077,0.082,0.304,0.459,"Morgan"
"53",1105,0.025,0.084,0.087,0.187,0.618,"Perry"
